,user,eigen_centrality,page_centrality,engagement_comments,engagement_likes,authenticity,interaction
0,bestofvanity,0.06899352762452783,1.8808253605456263e-05,0.0013601344317610742,0.11019633351736575,0.5903344793009598,0.04773250919520163
1,deedeeparis,0.0,2.952105724418092e-05,0.0002819510177714232,0.017392028317573287,0.7208230162140778,0.018595493716748894
2,saeve_france,0.06688528490802303,0.0,0.003541947349286799,0.178744986941402,0.5609298367678257,0.029007696781066156
3,lilibarbery,0.0,2.1010117432302588e-05,0.00019585511813491089,0.030262289087920807,0.6419976015485256,0.019445163618459566
4,mangoandsalt,0.0,1.3535359368915736e-05,0.0018341638294961306,0.018039906750120162,0.5993589743589745,0.038596836757141706
5,justine_porcelaine,0.0,1.0192644291538086e-05,0.0023537271043819505,0.12953876464378114,0.6526106574989258,0.04302098983256141
6,natachabirds,0.010972787243408904,1.0183560945261309e-05,0.0001226101790643187,0.44638376709758415,0.7358767657576831,0.02055201479147438
7,friendly_beauty,0.010970360487600002,9.684531713065955e-06,0.01992783251485563,0.13269367329749623,0.6200281717041495,0.05143483288201291
8,monblogdefille,0.0,9.578501456352635e-06,0.002619810781318699,0.04370727534430228,0.48170629804708026,0.026803965777227403
9,nuoobox,0.05591986375382901,6.802580384651377e-06,0.005854600663609119,0.1689971558019672,0.5268645848254788,0.011449424160985731
10,balzacparis,0.02996728888266289,9.483902194802922e-06,0.0001930635117752051,0.1408638864545941,0.6639703600248293,0.005095188890343108
11,birchboxfr,0.05591747987226952,7.167909043340874e-06,0.0003553613074593795,32.03398843725475,0.739901160292222,0.007727350416392475
12,mathildelacombe,0.0,9.236380107998206e-06,0.0008069771549335233,0.013940548287557543,0.5574439228822555,0.021469097578926177
13,kazidomi_fr,0.05591743479934065,7.26506796369848e-06,0.03165924766294794,0.18788943321176219,0.4770209616578333,0.019112584608911104
14,biendansmonslip,0.0,9.208512666572798e-06,0.00029144534047695234,23.319599598218407,0.6450859041641165,0.02093242448156422
15,weledafr,0.05591743040198175,6.375693763622905e-06,0.006942319361537571,0.022794429113446545,0.6989387862292891,0.012206084884739885
16,audreylombard,0.0,9.13190482204296e-06,0.0009541102654766484,0.07277223562788102,0.608509160719151,0.012134052444659755
17,commeavantbio,0.05591741940858446,5.867881477029601e-06,0.00478078377186344,0.193208857167931,0.599209759824285,0.02320790267204444
18,leblogdeneroli,0.0,9.130636607781285e-06,0.007384532205244626,0.13344387813278785,0.6173978637988092,0.031114510730863458
19,intoyourcloset,0.055917416110565284,6.160280406651933e-06,0.0015654220599597255,0.04012071783230489,0.606626870002461,0.01507578565680079
20,youmakefashion,0.01899943547596136,9.10204759909684e-06,0.0014686708386417973,152.01916436096502,0.6431743303251684,0.02434278951300273
21,hellocoton,0.055917406216507724,0.0,0.0011062191641407996,0.400795986596541,0.6982106193000048,0.008180162681828137
22,looknatamelie,0.01097515793289162,8.949324974345889e-06,9.452457230871326e-05,0.018744697054385823,0.602629756959366,0.018506354617626758
23,solar_editions,0.05591502123560852,6.097217950432174e-06,0.048227562687716934,0.12444254396136337,0.599842429451368,0.05149405950144998
24,makemylemonade,0.0,8.924595177685785e-06,5.8251903073352835e-05,0.008151886203813088,0.5808205605691641,0.009996772258218184
25,bobochicparis,0.055915017937589316,0.0,5.734807894013456e-05,149.3585158911165,0.4688708637730985,0.00914797963590511
26,escadrilleparis,0.0,8.723473114883145e-06,0.1842909464156577,0.3729968709941423,0.5803550112209331,0.06538810633078974
27,beautygangfr,0.055915012440890706,0.0,0.0042228364529790195,2794.9128045888106,0.6612412261853604,0.008875572561500405
28,lessavonsdejoya,0.05591501244089068,0.0,0.017040118943272325,0.04410933728963364,0.6765387002817171,0.05124182709412246
29,lisagachet,0.010967924937073251,8.609938518984262e-06,0.0010143345338034827,0.05600408084785893,0.6440636489519171,0.03902111861703167
30,asusfrance,0.055915004745512586,0.0,0.0002310433548234459,0.03132676326174214,0.5236594566203506,0.009023067628407802
31,lescassecouillesdevinted,0.0,8.572819626251816e-06,0.04856007969886973,0.05440377446726126,0.7158776202072292,0.09136375793233195
32,carnetprune,0.0,8.542226177794301e-06,0.008700762060082814,0.01792266487936935,0.607004727116459,0.04292373723583751
33,margauxstips,0.010972733375762178,8.38651479409796e-06,0.00031340717650610967,0.04256117328228527,0.5835279090865684,0.09345295329339301
34,peau_neuve,0.03290849075879291,8.374131737745903e-06,0.0003356147720934648,50.559579978500324,0.7017290980279809,0.010382346336872118
35,charlyjamespics,0.0,8.297696646702577e-06,0.06704685573366215,0.1407846190356406,0.5853208709353962,0.04011225296178616
36,samueletgaspard,0.0,8.287430572335653e-06,0.006877553891882068,0.0008963787351080249,0.678496394976842,0.31681057762671583
37,babiolesdezoe,0.0,8.256606685209186e-06,0.00362063266509233,0.010052066165286406,0.6629959891133076,0.041569477798205134
38,mademoiselle_bio,0.04093511260719153,8.122948068890143e-06,0.0004423585075733531,0.06481014662641321,0.5302726447977846,0.01052516159912837
39,healthiehour,0.010967941427169206,8.114965935409314e-06,0.06616652427737435,0.06069786793868096,0.6040681850737717,0.04033154801993288
40,fempo_co,0.051902937431060156,6.759020394975843e-06,0.0062624066546932596,0.20268848215219426,0.6277276416941222,0.030807398870752428
41,lesbonheursdecamille,0.0,8.028257886363143e-06,0.013931832493007588,0.14909753435020648,0.6329322446640884,0.08595777941520877
42,couleurcaramelofficiel,0.05190051177459099,5.899204342345424e-06,0.001475137038877575,0.07290641641986742,0.5817874707539513,0.020202114666267982
43,naturellement_lyla,0.010972738872460823,7.946863833065635e-06,0.004767721932935879,0.18187510567212306,0.694747136786243,0.054343624641431866
44,efbio_cosmetiques,0.05190050407921291,6.069786731734097e-06,0.008844314671406206,0.06799482250248917,0.6124062932722152,0.03457709770093783
45,angarde,0.051900489787796426,0.0,0.00652527138214755,0.14687993345950742,0.3819175858282004,0.01989271514322536
46,tribulationsdanais,0.010967930433771908,7.852652254051131e-06,0.032918063592119524,0.08220688384703455,0.5834168934727595,0.03977071283941152
47,sarahagimenez,0.0519004886884567,0.0,0.0025130890638764237,0.04877255180921011,0.6769445638160723,0.02574718407384096
48,aliceesmeralda,0.0,7.829049563818999e-06,0.0016019735806958187,0.015791328104601602,0.5247576755956644,0.05927239325193973
49,theworldofsisters,0.0,7.80137621650114e-06,0.0022356023885972765,0.029467086351499912,0.6496084610609751,0.06764103179361106
50,penelopeb,0.0,7.800342968774925e-06,0.0050526625234833976,0.047875388429727675,0.6538759967530918,0.032560966129890186
51,daphnemoreau,0.010970374779016504,7.796371908301059e-06,0.0006033081828274733,0.03752832228097882,0.6541535357876141,0.039078645257397286
52,lemondefr,0.0,7.795132270136918e-06,0.0014495590730279472,0.013169808839462026,0.7207837941078166,0.006111910343230924
53,louyetuparis,0.0,7.775428279284503e-06,0.00010703538962277936,0.14353863379878937,0.6639151506469944,0.00898314577788036
54,aromazone_officiel,0.0,7.744662395303204e-06,0.0033449089733760275,0.045733228965218725,0.5848612901685528,0.018586312606559
55,lalicornedevictorine,0.047885986922817286,0.0,0.004675261814661621,0.4591168224615655,0.4524662178293464,0.03841561451686434
56,celinemarks,0.0,7.718228616104984e-06,0.0038955600354495966,0.05308105600223211,0.6458780976937403,0.014770663041759651
57,gaspajoe,0.047885984724137826,0.0,0.0365372926201373,0.16987072754919477,0.6785501122093301,0.04299632127794561
58,paulineprivez,0.010970317613350556,7.679345898137985e-06,0.0013059804294104544,0.00936831660359611,0.6230542424676504,0.017239477952702646
59,garancedore,0.0,7.671834400837205e-06,0.0002898642966375002,0.002827050436402939,0.10047083580603151,0.012258175078284523
60,julie_pancakes,0.0,7.666039658602761e-06,0.0005110106290210836,110.0423364374245,0.7072448811275628,0.027818496536929416
61,olly_lingerie,0.04788597702875971,0.0,0.05286082096023265,0.4981546177283731,0.7141706059303826,0.037185594934507286
62,heloisemonchablon,0.010967930433771908,7.61606527831283e-06,0.0004747817365313293,652.3871951573485,0.6622081363701476,0.020695726487820174
63,lilylovesfashion,0.018999373912936462,7.570773734780588e-06,0.0004583931398532364,6.70168143114341,0.6679661896142344,0.01696952325976512
64,lloydlng,0.0,7.553006460803615e-06,0.0024433277498604133,0.01783238891982735,0.7136274650241132,0.06769498803026898
65,emiliebrunette,0.0,7.545679361771654e-06,0.005252693283618167,0.05534946412089188,0.6549264670773052,0.03231531459931479
66,muglerofficial,0.04788597153206108,0.0,3.2410496176458816e-05,0.11278610087817667,0.5303678279641233,0.00432551558431143
67,lamazuna,0.02595273215003697,7.5133394360100475e-06,0.001539040976727024,0.07168384302830791,0.2503879577901925,0.01409227044407307
68,ohmycream,0.010970317613350562,7.4369065713859016e-06,0.0011084362588121986,622.4964401300067,0.6422909802798071,0.005576399305196289
69,dorotheedutheil,0.04788597043272135,0.0,0.026093690377320376,0.14646130531873766,0.4128229002530679,0.05864769882912715
70,shakermakerblog,0.021935790436511882,7.4180328787172734e-06,0.014736324496967806,5.839774591542934,0.5503513036786123,0.04553183373945075
71,artefr,0.0,7.3926162788772705e-06,0.00044208280365928593,196.52862182072167,0.6760791195148738,0.0062314715548797426
72,ventedudiable,0.04788597043272135,0.0,0.0006097887406706282,0.04170365410726052,0.594834789667192,0.01888897948549149
73,soisbioetbatstoi,0.010972724581044351,7.363738363862765e-06,0.00024538105778549766,84.56700342575758,0.5866382996271265,0.01404120655809696
74,lamalicelyon,0.04788597043272135,0.0,0.00033088747258620756,0.031533878683474834,0.7026787911510732,0.013727858746954579
75,zoebassetto,0.010970329706087587,7.363127980183378e-06,0.002577653535796302,0.02874076990678984,0.6609487656973692,0.020385641558593612
76,fringeandfrange,0.0,7.355081037656174e-06,6.81111002839688e-05,0.08599677524010711,0.6757165281955786,0.024238861606402203
77,typologyparis,0.010967888658862189,7.341313133236373e-06,0.0009800318510351587,0.03527965434382416,0.5003998949529677,0.016434870960049336
78,anne_dressingideal,0.0,7.332079241758459e-06,0.013412395877453057,0.21978799717237468,0.4386071718473954,0.052345673943217305
79,margauxmotin,0.0,7.306253509597143e-06,0.0005952278127138367,56.919846951078114,0.6792036718712697,0.04350507349385615
80,naturellementgreen,0.0,7.282886198659906e-06,0.026948503094867154,0.5230357060256049,0.6648223750179059,0.05935187201813656
81,iliarenon,0.01097032530872867,7.272433816727033e-06,0.0005114812417435856,0.28671924929746306,0.6486967602540229,0.04834572728812258
82,carolineovrd,0.04788596933338162,0.0,0.003462052443170409,0.10370668583929228,0.5386465644845534,0.03367605271231819
83,lapetitegaby,0.03691814011215409,7.252660612516166e-06,0.0007151766200180797,0.33620678917436053,0.6939624814973978,0.060272714972386565
84,crosscallmobile,0.04788596933338162,0.0,2.2204840542195375e-05,0.13132462571257614,0.5962399642567241,0.01802819212366291
85,alexandraguerain,0.0,7.242412612286116e-06,0.00018308093727108677,1.9718012717564823,0.5550864250584923,0.03869326688272614
86,bayafrance,0.04495196857221779,0.0,7.816489989227793e-05,0.6260216340249628,0.5632476525920497,0.006251271315078945
87,easypara,0.04494956050518428,6.12513342911858e-06,0.04113390821686986,0.21301504918764627,0.6666845724108295,0.01832926314347876
88,marieandmood,0.0,7.236649916864057e-06,0.002187730062689018,3.013943635302394,0.5972863059381731,0.049738114374891826
89,femininbio,0.044949548412447256,0.0,4.296916962079708e-05,0.5137459664431154,0.726883684285919,0.001843655380185104
90,isadora.fjo,0.010967897453580028,7.235936835988456e-06,0.023236360256529417,0.22025966896188023,0.5663680670663912,0.07022171919316807
91,graceandmila,0.044947181020983704,6.299090236135528e-06,0.00609320222967475,0.04813157075574389,0.6245344506517692,0.00830504609114886
92,le_moly,0.04494716782890697,6.118195128687462e-06,0.003269668980661207,0.19939233477985668,0.6924918000874168,0.035170607954527
93,oden_france,0.044947164530887776,0.0,0.03671045571269786,0.3307564526409761,0.5539440385809101,0.02924897133199181
94,lechocolatdesfrancais,0.0449471612328686,6.059269876992801e-06,0.0055483507406807004,0.03732545974874683,0.6407868977701381,0.011315021430901028
95,kenzasmg,0.0,7.11634678895127e-06,0.00022650046663494195,143.31655259695034,0.5905553168123001,0.012247458883473816
96,paiskincare,0.04494716013352887,0.0,0.011542266681323512,0.09304560009816855,0.19118559900682816,0.011011382246764071
97,etdieucrea,0.0,7.104729022320562e-06,0.023935649280980402,0.04363624420896764,0.6179809482882109,0.028031913015644717
98,wild__amanda,0.044947146941452125,0.0,0.022274329679378313,0.8272740225719888,0.5922145824380461,0.07021677983694896
99,marina_de_s,0.014984841365784566,7.097886548554471e-06,0.0008848599846380171,0.1041265660642819,0.4829925273361028,0.026624483570009485
100,book_ouioui,0.044947143643432934,0.0,0.0006686824448277725,81.10601841827881,0.6450868343326445,0.023529372446351657
101,eleonorebridge,0.0,7.085784234752567e-06,0.00015655587511798769,0.015428171437076586,0.6241249141442525,0.01656653254881614
102,lessecretsdeloly,0.04494714254409321,0.0,0.004431031592057676,0.11879923828434247,0.6292436613665665,0.027269417088659893
103,sorteztoutvert,0.010967895254900571,7.069647370382028e-06,0.03496120107962213,0.17819106868118204,0.6166797975457194,0.06208737937122531
104,lesideesdesamia,0.04494714254409321,0.0,0.0032303725500560914,0.02455678193203881,0.7233204411975362,0.0436896670295376
105,thesocialitefamily,0.0,7.066448865717468e-06,2.611838943563384e-05,281.0239335992976,0.48285823425488233,0.008368085889850467
